experiment,source,target,kl_val
E4_ALR_TO_ALR,p0,p0,5.41719025193288e-09
E4_ALR_TO_ALR,p0,p1,0.0015227942494675517
E4_ALR_TO_ALR,p0,p2,0.002864046022295952
E4_ALR_TO_ALR,p0,block,0.14270229637622833
E4_ALR_TO_ALR,p1,p0,0.0028707312885671854
E4_ALR_TO_ALR,p1,p1,8.37024546895826e-11
E4_ALR_TO_ALR,p1,p2,0.015526600182056427
E4_ALR_TO_ALR,p1,block,0.14518322050571442
E4_ALR_TO_ALR,p2,p0,0.001569286105223
E4_ALR_TO_ALR,p2,p1,0.004642489366233349
E4_ALR_TO_ALR,p2,p2,-6.288987108860056e-09
E4_ALR_TO_ALR,p2,block,0.14637687802314758
E4_ALR_TO_ALR,block,p0,0.6011063456535339
E4_ALR_TO_ALR,block,p1,0.4116484224796295
E4_ALR_TO_ALR,block,p2,0.7596069574356079
E4_ALR_TO_ALR,block,block,3.907290935245555e-09
